Date,ADA-USD,BCH-USD,BNB-USD,BTC-USD,DOGE-USD,EOS-USD,ETC-USD,ETH-USD,GAS-USD,LINK-USD,LTC-USD,REP-USD,TRX-USD,VET-USD,XLM-USD,XMR-USD,XRP-USD
2018-01-04,1.11412,2430.179932,9.21399,15599.200195,0.009644,11.2755,36.318001,980.921997,43.164501,0.984368,241.369995,73.698502,0.207974,,0.72405,403.048004,3.19663
2018-01-05,0.999559,2584.47998,14.9172,17429.5,0.012167,10.8396,36.199501,997.719971,47.003101,0.907486,249.270996,72.808701,0.220555,,0.662712,384.936005,3.04871
2018-01-06,1.02715,2786.649902,22.7598,17527.0,0.014863,12.5797,38.424801,1041.680054,51.844101,1.06357,296.45401,77.529503,0.174797,,0.709945,452.770996,3.09397
2018-01-07,1.00852,2786.879883,18.656799,16477.599609,0.017088,12.5219,40.793098,1153.170044,51.449902,1.27046,288.450989,80.208298,0.199655,,0.699645,459.330994,3.37781
2018-01-08,0.899002,2421.469971,18.2609,15170.099609,0.015045,9.69265,34.186298,1148.530029,48.8302,1.3773,255.763,98.124802,0.151993,,0.629323,405.074005,2.45621
2018-01-09,0.814743,2391.560059,17.4118,14595.400391,0.01342,9.32694,38.321602,1299.73999,62.1712,1.22828,247.037003,91.862396,0.124782,,0.585653,413.334015,2.10178
2018-01-10,0.793121,2895.379883,17.3908,14973.299805,0.013102,11.3383,36.952202,1255.819946,55.971298,1.18871,250.518005,102.983002,0.129553,,0.56693,407.740997,1.97492
2018-01-11,0.688412,2462.610107,21.0427,13405.799805,0.011469,11.3549,32.7939,1154.930054,48.370399,1.01033,229.365997,101.926003,0.10908,,0.558126,355.59201,1.9508
2018-01-12,0.897508,2620.98999,22.316299,13980.599609,0.013056,13.7458,36.4039,1273.199951,53.521801,1.05156,236.856003,105.463997,0.108858,,0.67796,394.78299,2.04323
2018-01-13,0.884124,2685.290039,22.1744,14360.200195,0.013023,16.2339,42.393902,1396.420044,60.875401,1.10123,259.192993,106.150002,0.103035,,0.671564,420.053986,2.02135
2018-01-14,0.802262,2553.320068,20.7773,13772.0,0.011684,13.4357,42.957298,1366.77002,81.326103,1.01084,238.675003,94.864403,0.084782,,0.630856,399.519012,1.86119
2018-01-15,0.778587,2401.540039,19.564699,13819.799805,0.009857,12.9445,40.495602,1291.920044,86.060204,0.877688,232.774002,90.883598,0.075694,,0.599271,414.570007,1.67673
2018-01-16,0.626493,1772.069946,13.8919,11490.5,0.006822,10.2759,28.4573,1053.689941,62.683399,0.756453,188.330994,67.615196,0.054488,,0.441197,320.036987,1.17924
2018-01-17,0.629102,1748.050049,14.2032,11188.599609,0.007648,10.1943,29.1236,1014.25,58.003899,0.698634,186.516006,64.447998,0.075623,,0.477187,319.186005,1.30634
2018-01-18,0.659843,1756.75,14.2804,11474.900391,0.007969,10.5051,30.186199,1036.280029,56.3531,0.74423,192.837006,64.668701,0.083179,,0.509523,316.467987,1.59658
